0.XSPA,1.VERO,2.SESN,3.CREX,4.ABEV,5.GNCA,6.SNDL,7.CEI,8.IGC,9.CYRN
1.2,1.87,1.49,1.47,3.07,2.43,0.68,1.06,1.81,1.2
1.35,2.27,1.54,1.58,3.05,2.71,0.71,1.3,1.53,1.22
1.74,2.37,1.65,1.85,2.8,3.03,0.65,1.24,1.55,1.24
2.22,1.9,1.71,1.57,2.79,2.8,0.82,1.39,1.59,1.05
2.15,2.15,2.27,1.91,2.92,3.15,1.13,1.48,1.95,1.25
2.68,2.84,2.8,2.25,2.79,3.39,2.08,1.84,2.3,1.24
2.47,3.33,3.17,2.72,2.81,3.61,1.53,1.99,2.08,1.17
1.76,2.6,2.72,2.74,2.55,3.04,1.33,1.44,1.76,0.91
1.62,2.37,2.42,2.5,2.71,2.69,1.14,1.2,1.63,0.81
2.13,2.68,2.86,2.04,2.75,2.96,1.42,1.32,1.85,0.91
2,2.63,3.24,2.09,2.87,2.98,1.49,1.19,2.05,0.93
1.77,2.37,2.75,2,2.68,2.67,1.13,1.07,1.74,0.87
1.67,2.42,2.71,1.77,2.67,2.71,1.1,1.06,1.8,0.84
1.57,2.24,2.52,1.83,2.77,2.66,1,0.9,1.71,0.82
1.36,1.98,2.3,1.21,2.88,2.21,0.85,0.72,1.42,0.63
1.39,1.87,2.68,1.46,2.92,2.82,0.83,0.71,1.6,0.65
1.37,1.9,2.88,1.4,2.78,2.6,0.86,0.73,1.6,0.66
1.26,1.76,2.67,1.23,3.12,2.35,0.77,0.66,1.53,0.61
1.2,1.8,2.34,1.24,3.31,2.19,0.71,0.6,1.37,0.57
1.33,2.03,2.96,1.31,3.3,2.32,0.76,0.63,1.41,0.62
1.39,2.04,3.35,2.13,3.46,2.36,0.97,0.64,1.42,0.61
1.32,2.28,3.75,1.96,3.87,2.32,1.09,0.67,1.39,0.71
1.67,2.41,4.25,2.15,3.74,2.53,1.05,0.69,1.49,0.73
1.48,2.73,4.35,2.05,3.69,2.3,0.92,0.64,1.55,0.71
1.63,3.18,4.17,2.18,3.44,2.39,0.97,0.67,1.69,0.73
1.47,3.14,4.25,2.28,3.43,2.25,0.9,0.67,1.58,0.71
1.48,3.11,4.07,2.21,3.36,2.12,0.89,0.57,1.52,0.69
1.39,2.45,3.77,1.71,3.39,2.12,0.81,0.5,1.41,0.61
1.57,2.47,3.86,1.67,3.19,2.04,0.8,0.48,1.88,0.61
1.62,2.31,3.73,1.67,3.17,2.02,0.82,0.45,1.77,0.59
1.66,2.1,4.19,1.75,3.22,1.98,0.8,0.46,1.76,0.58
1.75,2.04,2.11,1.54,3.12,1.81,0.75,0.43,1.61,0.56
1.52,1.87,1,1.34,3.19,1.77,0.7,0.35,1.53,0.47
1.74,2.22,0.98,1.36,3.23,1.78,0.76,0.49,1.59,0.53
1.88,2.35,1.02,1.44,3.14,1.82,0.78,0.83,1.62,0.54
1.74,2.22,0.97,1.34,3.01,2.02,0.72,1.52,1.53,0.6
1.77,2.29,0.91,1.33,2.96,1.93,0.73,1.69,1.61,0.6
1.6,2.62,0.83,1.35,2.92,2.09,0.67,2.04,1.53,0.58
1.48,2.42,0.78,1.43,2.78,1.99,0.67,3.25,1.47,0.6
1.42,2.29,0.73,1.4,2.74,1.74,0.68,1.71,1.43,0.51
1.41,1.95,0.96,1.45,2.79,1.76,0.66,1.37,1.46,0.46
1.41,1.84,1.15,1.39,2.62,1.71,0.66,1.44,1.41,0.47
1.33,1.9,1.21,1.53,2.96,1.91,0.65,1.3,1.4,0.5
1.37,1.91,1.18,1.57,3.22,1.79,0.64,1.32,1.41,0.52
1.37,1.74,1.2,1.46,3.14,1.65,0.92,1.09,1.48,0.49
1.55,1.44,1.07,2.02,3.06,1.5,0.73,1.21,1.43,0.42
1.62,1.37,1.08,1.8,2.95,1.38,0.65,1.37,1.36,0.4
1.73,1.21,0.91,1.46,2.82,1.12,0.56,1.02,1.14,0.31
1.77,1.36,0.88,1.58,2.81,1.05,0.59,1.1,1.2,0.35
1.71,1.44,0.88,1.41,2.81,0.95,0.6,1.05,1.13,0.32
2,2.16,0.88,1.46,2.74,1.25,0.67,0.88,1.15,0.33